,,,,,,,,,,,,,,,,,,,,,,,,,Semester: Fall 2022,
,,,,,,,,,,,DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING,,,,,,,,,,,,,,,
,,,,,,,,,,,,Class Routine for CSE Program (Day),,,,,,,,,,,,,Version 3.6,
,"Effective From: September 18, 2022",,,,,,,,,,,,,,,,,,,,,,,"Prepared by: Class Routine Committee, Dept. of CSE",,
,,,,,,,,,,,,,Saturday,,,,,,,,,,,,,
,08:30-09:30,,,09:30-10:30,,,10:30-11:30,,,11.30-12:30,,,12:30-01:30,,,01:30-02:30,,,02:30-03:30,,,03:30-04:30,,,04:30-05:30,
Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher
,D_New),,,,,,C),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ECO321(55-F) + ECO314,,,,,,,,,,,,,,,,
AB04-802,CSE112(S),MAMR,AB04-802,CSE498(52-A),FZA,AB04-802,CSE317(56-C),SA-C,AB04-802,,MHA,AB04-802,CSE498(53-F),STA,AB04-802,CSE226(58-A),SA-C,AB04-802,ECO321(T3_PC-F),SYMR,AB04-802,,,AB04-802,,
,,,,,,,,,,(OLD-A),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MAT121(OLD-A) +,,,MAT121(OLD-A) +,,,,,,,
AB04-803,CSE136(60-A),SA-C,AB04-803,ECO321(55-C),MHA,AB04-803,PHY113(R),MS,AB04-803,CSE336(PC-K),SJ,AB04-803,ENG113(L),SAL,AB04-803,,MAH,AB04-803,,MAH,AB04-803,CSE336(55-G),MHRA,AB04-803,CSE226(58-B_New),NMC
,,,,,,,,,,,,,,,,MAT121(Retake-1),,,MAT121(Retake-1),,,,,,,
AB04-804,GED121(F),MAA,AB04-804,CSE333(55-H),NIS,AB04-804,MAT111(I),SHA,AB04-804,MAT111(I),SHA,AB04-804,STA221(T3_PC-B),MKH,AB04-804,ENG113(S),SAA,AB04-804,,,AB04-804,,,AB04-804,,
AB04-813(B),CSE446(52-A),WRB,AB04-813(B),PHY113(S),MS,AB04-813(B),CSE336(PC-L),SJ,AB04-813(B),MAT211(59-A),PD,AB04-813(B),CSE231(OLD-A),MRIS,AB04-813(B),CSE231(OLD-A),MRIS,AB04-813(B),CSE446(53-F),USA,AB04-813(B),,,AB04-813(B),,
AB04-814,CSE136(T1_PC-G),FAFA,AB04-814,CSE315(56-C),RAK,AB04-814,CSE231(T1_PC-A),MRIS,AB04-814,GED121(G),MAA,AB04-814,CSE446(T2_PC-B),PDS,AB04-814,ECO321(55-A),MHA,AB04-814,,,AB04-814,,,AB04-814,,
,,,,,,,,,,,"Lab (Electrical Circuit, Digital Electronics, Electronic Devices, and Circuits Lab)",,,,,,,,,,,,,,,
,08:30-09:30,,,09:30-10:30,,,10:30-11:30,,,11.30-12:30,,,12:30-01:30,,,01:30-02:30,,,02:30-03:30,,,03:30-04:30,,,04:30-05:30,
E-105,OCCUPIED BY EEE,,E-105,OCCUPIED BY EEE,,E-105,OCCUPIED BY EEE,,E-105,OCCUPIED BY EEE,,E-105,OCCUPIED BY EEE,,E-105,OCCUPIED BY EEE,,E-105,OCCUPIED BY EEE,,E-105,OCCUPIED BY EEE,,E-105,,
E-106,CSE 213(PC-B),SD,E-106,CSE 213(PC-B),SD,E-106,CSE 213(PC-B),SD,E-106,CSE 213(PC-B),SD,E-106,,,E-106,,,E-106,,,E-106,,,E-106,,
E-202,OCCUPIED BY EEE,,E-202,OCCUPIED BY EEE,,E-202,OCCUPIED BY EEE,,E-202,OCCUPIED BY EEE,,E-202,CSE133(O),OI,E-202,CSE133(O),OI,E-202,,,E-202,,,E-202,,
